feature,importance,abs_importance
enc_761,0.0,0.0
enc_760,0.0,0.0
enc_759,0.0,0.0
enc_862,0.0,0.0
enc_757,0.0,0.0
enc_756,0.0,0.0
enc_755,0.0,0.0
enc_754,0.0,0.0
enc_753,0.0,0.0
enc_752,0.0,0.0
enc_751,0.0,0.0
enc_750,0.0,0.0
enc_749,0.0,0.0
enc_758,0.0,0.0
enc_785,0.0,0.0
enc_784,0.0,0.0
enc_783,0.0,0.0
enc_782,0.0,0.0
enc_781,0.0,0.0
enc_780,0.0,0.0
enc_779,0.0,0.0
enc_778,0.0,0.0
enc_767,0.0,0.0
enc_776,0.0,0.0
enc_775,0.0,0.0
enc_774,0.0,0.0
enc_773,0.0,0.0
enc_772,0.0,0.0
enc_771,0.0,0.0
enc_770,0.0,0.0
enc_769,0.0,0.0
enc_768,0.0,0.0
enc_777,0.0,0.0
enc_728,0.0,0.0
enc_408,0.0,0.0
enc_726,0.0,0.0
enc_725,0.0,0.0
enc_724,0.0,0.0
enc_723,0.0,0.0
enc_722,0.0,0.0
enc_721,0.0,0.0
enc_748,0.0,0.0
enc_719,0.0,0.0
enc_718,0.0,0.0
enc_717,0.0,0.0
enc_716,0.0,0.0
enc_715,0.0,0.0
enc_714,0.0,0.0
enc_713,0.0,0.0
enc_712,0.0,0.0
enc_711,0.0,0.0
enc_720,0.0,0.0
enc_747,0.0,0.0
enc_746,0.0,0.0
enc_745,0.0,0.0
enc_744,0.0,0.0
enc_743,0.0,0.0
enc_742,0.0,0.0
enc_741,0.0,0.0
enc_740,0.0,0.0
enc_729,0.0,0.0
enc_738,0.0,0.0
enc_737,0.0,0.0
enc_736,0.0,0.0
enc_735,0.0,0.0
enc_734,0.0,0.0
enc_733,0.0,0.0
enc_732,0.0,0.0
enc_731,0.0,0.0
enc_730,0.0,0.0
enc_739,0.0,0.0
enc_842,0.0,0.0
enc_841,0.0,0.0
enc_840,0.0,0.0
enc_839,0.0,0.0
enc_838,0.0,0.0
enc_837,0.0,0.0
enc_836,0.0,0.0
enc_835,0.0,0.0
enc_786,0.0,0.0
enc_833,0.0,0.0
enc_832,0.0,0.0
enc_831,0.0,0.0
enc_830,0.0,0.0
enc_829,0.0,0.0
enc_828,0.0,0.0
enc_827,0.0,0.0
enc_826,0.0,0.0
enc_825,0.0,0.0
enc_834,0.0,0.0
enc_861,0.0,0.0
enc_860,0.0,0.0
enc_859,0.0,0.0
enc_858,0.0,0.0
enc_857,0.0,0.0
enc_856,0.0,0.0
enc_855,0.0,0.0
enc_854,0.0,0.0
enc_843,0.0,0.0
enc_852,0.0,0.0
enc_851,0.0,0.0
enc_850,0.0,0.0
enc_849,0.0,0.0
enc_848,0.0,0.0
enc_847,0.0,0.0
enc_846,0.0,0.0
enc_845,0.0,0.0
enc_844,0.0,0.0
enc_853,0.0,0.0
enc_804,0.0,0.0
enc_803,0.0,0.0
enc_802,0.0,0.0
enc_801,0.0,0.0
enc_800,0.0,0.0
enc_799,0.0,0.0
enc_798,0.0,0.0
enc_797,0.0,0.0
enc_824,0.0,0.0
enc_795,0.0,0.0
enc_794,0.0,0.0
enc_793,0.0,0.0
enc_792,0.0,0.0
enc_791,0.0,0.0
enc_790,0.0,0.0
enc_789,0.0,0.0
enc_788,0.0,0.0
enc_787,0.0,0.0
enc_796,0.0,0.0
enc_823,0.0,0.0
enc_822,0.0,0.0
enc_821,0.0,0.0
enc_820,0.0,0.0
enc_819,0.0,0.0
enc_818,0.0,0.0
enc_817,0.0,0.0
enc_816,0.0,0.0
enc_805,0.0,0.0
enc_814,0.0,0.0
enc_813,0.0,0.0
enc_812,0.0,0.0
enc_811,0.0,0.0
enc_810,0.0,0.0
enc_809,0.0,0.0
