feature,importance
enc_759,0.000888069
enc_554,0.0008851561
enc_186,0.00088366895
enc_473,0.0008823406
enc_8,0.0008712284
enc_14,0.0008499214
enc_760,0.00083460036
enc_513,0.00083440606
enc_159,0.0008332722
enc_905,0.0008213109
enc_612,0.0008095646
enc_165,0.0008092091
loclup,0.0007908676
enc_964,0.00078570563
enc_79,0.00077222195
enc_654,0.0007655162
enc_886,0.0007323882
enc_943,0.0007280293
enc_843,0.0007265917
enc_293,0.00071279303
smokeyr,0.0007120551
enc_218,0.0006992032
enc_333,0.0006969127
enc_123,0.0006967782
enc_548,0.00069441315
enc_202,0.00069409615
enc_73,0.00069106725
enc_84,0.00068792806
enc_476,0.00068361976
enc_569,0.00066733366
enc_920,0.0006566641
enc_298,0.00064848724
enc_1010,0.0006453052
enc_131,0.00064233085
enc_453,0.00063065125
enc_730,0.00062224385
enc_111,0.00062002597
enc_869,0.00062002597
enc_837,0.00061631197
enc_929,0.0006137983
enc_557,0.0006119711
enc_773,0.0006113005
enc_363,0.0006103471
enc_99,0.0006092188
enc_415,0.0006054202
enc_487,0.00060100877
enc_56,0.0005922755
enc_182,0.0005910846
enc_356,0.0005886714
enc_163,0.0005816619
enc_303,0.00058023154
enc_1015,0.00057321397
enc_336,0.00056996464
enc_919,0.0005696552
enc_865,0.00056962634
enc_981,0.00056585675
enc_985,0.00056072406
enc_770,0.00055984064
enc_10,0.0005482501
enc_239,0.0005479319
enc_58,0.0005456809
enc_166,0.0005377724
enc_953,0.0005273864
enc_385,0.0005192758
enc_437,0.000517632
height,0.00050054345
enc_692,0.00049507606
enc_991,0.0004930047
enc_274,0.0004907896
enc_109,0.0004887245
enc_965,0.0004880541
enc_897,0.00048419795
enc_65,0.00048120803
enc_139,0.00048051207
enc_523,0.00047883266
enc_788,0.00047572423
enc_678,0.00047416403
enc_21,0.00047341903
enc_511,0.00047054765
enc_864,0.00046931207
enc_539,0.00046477732
enc_129,0.00046306723
enc_727,0.0004570033
enc_457,0.00044678996
enc_480,0.00044630453
enc_574,0.0004434372
enc_1012,0.0004425893
enc_771,0.00043965917
enc_11,0.0004365084
enc_782,0.00043049996
enc_933,0.00042457748
enc_206,0.00042455705
enc_67,0.00040934057
enc_538,0.00040738456
enc_427,0.00040390372
enc_281,0.00039195828
enc_164,0.0003915447
enc_951,0.0003870577
enc_583,0.00037647027
enc_209,0.0003703908
enc_96,0.00036996015
enc_435,0.00036197185
enc_249,0.00035701695
enc_1,0.00034094614
enc_482,0.0003365656
enc_4,0.00032962678
enc_187,0.00032704283
enc_285,0.00032650685
bmi,0.00032538577
enc_0,0.00031825434
enc_927,0.0003156209
enc_18,0.00030324046
enc_97,0.00029511945
enc_183,0.0002883772
enc_806,0.00028226542
enc_195,0.0002801886
enc_400,0.00027883847
enc_580,0.00027699568
enc_636,0.0002726636
enc_199,0.00027081303
enc_31,0.00026901788
enc_637,0.00026024895
enc_235,0.00024442445
cigar,0.00024103602
enc_250,0.00023196203
enc_420,0.00022812109
enc_348,0.00022744453
work_related,0.00022719544
enc_394,0.00022478348
enc_517,0.00020280476
enc_877,0.0001807538
enc_640,0.00015717738
enc_305,0.00015674444
enc_246,0.00015155479
enc_343,0.00014046955
enc_80,0.00011933185
enc_754,0.000118838216
enc_204,0.00011604435
enc_704,0.00010202214
enc_294,9.0327216e-05
enc_669,8.7615066e-05
enc_89,8.33386e-05
enc_631,7.902029e-05
enc_627,7.103343e-05
enc_496,6.975247e-05
enc_470,6.61171e-05
enc_379,3.8334536e-05
pkyr,1.7702114e-05
enc_726,0.0
enc_598,0.0
enc_712,0.0
enc_713,0.0
enc_714,0.0
enc_715,0.0
enc_786,0.0
enc_785,0.0
enc_716,0.0
enc_799,0.0
enc_798,0.0
enc_717,0.0
enc_593,0.0
enc_718,0.0
enc_719,0.0
enc_795,0.0
enc_599,0.0
enc_676,0.0
enc_677,0.0
enc_585,0.0
enc_728,0.0
enc_729,0.0
enc_674,0.0
enc_731,0.0
enc_732,0.0
enc_796,0.0
enc_733,0.0
enc_606,0.0
enc_735,0.0
enc_787,0.0
enc_720,0.0
enc_721,0.0
