PID,embedding
132386,"[-6.7227438e-02 -1.8524842e-02  1.9561013e-02 ... -2.0318141e-03
  6.0901391e-05 -3.2840338e-02]"
133279,"[-0.06529596 -0.03349804  0.01728633 ... -0.01380599  0.0082486
 -0.02096418]"
133792,"[-0.06278656 -0.03740372  0.00705803 ... -0.00463972 -0.03567275
 -0.03102129]"
133811,"[-0.06419527 -0.00938961  0.00729222 ...  0.01206093 -0.01694483
 -0.0157695 ]"
133934,"[-0.07917719 -0.02149738  0.02230211 ...  0.01190604 -0.00064157
 -0.05131246]"
134257,"[-0.05092202 -0.00507137  0.00858709 ...  0.00818561 -0.00550811
 -0.03701857]"
134491,"[-0.03707593 -0.01218634 -0.01066458 ...  0.02183417 -0.01965181
 -0.01720382]"
200017,"[-0.05606906 -0.01640832  0.02549001 ...  0.00155669  0.00367032
 -0.03038199]"
200056,"[-0.06753832 -0.00611754  0.01309669 ...  0.01378255 -0.00058757
 -0.02972019]"
200066,"[-0.06069965 -0.01946438  0.01412146 ...  0.00459499 -0.0136626
 -0.04003919]"
200674,"[-0.05611523 -0.0121542  -0.02119304 ...  0.01161142 -0.02358934
 -0.02963871]"
200683,"[-0.06609316 -0.03109328  0.02408903 ...  0.0115726   0.0187182
 -0.02704781]"
200931,"[-0.04748092  0.00021141 -0.00562174 ... -0.01365285 -0.01027335
 -0.04525112]"
201275,"[-0.06138907 -0.01981734  0.00433984 ... -0.02223995 -0.00761122
 -0.03237537]"
201674,"[-0.06891114 -0.00046077  0.0075112  ...  0.0213678  -0.03262731
 -0.03556624]"
201979,"[-0.04997383 -0.03810252 -0.00556237 ...  0.00803813 -0.02973967
 -0.0218074 ]"
202128,"[-0.03864712 -0.03660566  0.00408429 ...  0.00513484 -0.00626894
  0.00063173]"
202268,"[-0.0493424  -0.03107351  0.01639632 ...  0.0134963  -0.01452612
 -0.01972379]"
203087,"[-0.05473526 -0.0084575  -0.0095109  ... -0.00306323 -0.01147227
 -0.03351597]"
203759,"[-0.07840712 -0.00899604  0.02738529 ... -0.00557322 -0.00961325
 -0.01648627]"
203769,"[-0.04890747 -0.00035149  0.00327598 ...  0.01876815 -0.01581188
 -0.01664362]"
203861,"[-0.05529233 -0.01920143 -0.00851376 ... -0.01453951 -0.00280154
 -0.02971831]"
204197,"[-0.06226194 -0.02997016  0.03443218 ...  0.0518471  -0.03182858
 -0.03257119]"
204878,"[-0.06424885 -0.00682252 -0.00503884 ... -0.02038286 -0.02664915
 -0.03342211]"
205283,"[-0.07263449 -0.03575574  0.01215793 ...  0.02559245 -0.01306126
 -0.02171684]"
205418,"[-0.08742124 -0.02468981  0.0199518  ...  0.00093153 -0.01288547
 -0.029922  ]"
205591,"[-0.04720267 -0.01653082  0.00027604 ... -0.0059413  -0.03000396
 -0.02871276]"
205687,"[-0.04759374 -0.01894949  0.00165966 ...  0.01892009 -0.04271843
 -0.03572992]"
205900,"[-0.04694561 -0.00335818 -0.00398055 ... -0.00528205 -0.02280134
 -0.03776744]"
206564,"[-0.08223201 -0.01872544  0.02122302 ... -0.01315137  0.00728492
 -0.03362632]"
206687,"[-0.07244142 -0.01991393  0.02247786 ...  0.00643147  0.01649213
 -0.03207409]"
206732,"[-0.07481672 -0.0132954   0.0141964  ...  0.00176436 -0.03762244
 -0.03717719]"
206870,"[-0.07792985 -0.01577876  0.01955157 ...  0.01334745  0.00187425
 -0.04099857]"
207286,"[-0.05612803 -0.00036414  0.01211047 ... -0.0076599   0.00486884
 -0.01642871]"
207347,"[-0.05709882 -0.00661177  0.00660418 ...  0.02005521 -0.00663731
 -0.02902922]"
207526,"[-0.04600858 -0.02905527 -0.00646289 ... -0.0035267   0.00936866
 -0.02479726]"
207584,"[-0.07296558 -0.01394306  0.02704142 ... -0.00821528 -0.00584341
 -0.02356888]"
207691,"[-0.04652217 -0.00640827 -0.00106653 ...  0.00109793 -0.01549657
 -0.04567304]"
207786,"[-0.05386366 -0.03487854  0.00280415 ...  0.01590163 -0.04057172
 -0.01806436]"
207830,"[-0.04152458 -0.0210803  -0.00169555 ...  0.00996502 -0.03607437
 -0.03985959]"
207954,"[-0.06998129 -0.02561947  0.00728473 ...  0.01431721 -0.03304448
 -0.02125271]"
208430,"[-0.04940387 -0.01316474 -0.00467292 ...  0.00539969 -0.00847819
 -0.01366761]"
208589,"[-0.05733389 -0.0271979  -0.01437747 ... -0.00556081 -0.00558366
 -0.0207888 ]"
208792,"[-0.06386304 -0.01499966  0.01920017 ...  0.00232292 -0.00404322
 -0.04215009]"
208801,"[-0.05750364 -0.02322715  0.00121375 ...  0.00655496 -0.01573324
 -0.02089587]"
209095,"[-0.04805134  0.01383302 -0.01087007 ...  0.00166513 -0.00509013
 -0.03268627]"
209512,"[-5.6577399e-02 -2.1463562e-02  2.5412433e-05 ... -6.1958586e-03
 -2.0929597e-02 -2.0189455e-02]"
209683,"[-0.06202321 -0.02633298  0.00037705 ...  0.01741587 -0.0409705
 -0.01155696]"
210218,"[-0.05416405 -0.01959309  0.00933812 ...  0.02126597 -0.02478685
 -0.02650733]"
210581,"[-0.05109408 -0.00541558 -0.00308844 ...  0.01312506 -0.03438863
 -0.02802342]"
211677,"[-0.04804781 -0.01403933 -0.00765945 ... -0.00889371 -0.00302546
 -0.04047749]"
211918,"[-0.0510375  -0.01174018 -0.00734164 ... -0.00583022 -0.01221869
 -0.02841796]"
212379,"[-0.07216286 -0.03051153  0.01342713 ...  0.00394912 -0.01623775
 -0.02806504]"
212419,"[-0.0466244  -0.02870281 -0.00318852 ... -0.00293825 -0.02234802
 -0.02565003]"
212615,"[-0.03589187 -0.0122478   0.00474763 ... -0.01106349  0.00168046
 -0.03602077]"
212900,"[-0.07594354 -0.01697653  0.01762409 ...  0.0204693  -0.00986381
 -0.03112638]"
213413,"[-0.05842913 -0.01471858  0.02056313 ...  0.0138754  -0.01526287
 -0.0219059 ]"
213439,"[-0.03306011  0.0059393  -0.00140168 ...  0.01326714 -0.01755784
 -0.02020524]"
213442,"[-0.06945808 -0.02847969 -0.00318214 ... -0.01202333 -0.00887769
 -0.01921898]"
213630,"[-0.06768563 -0.01294936 -0.00068736 ... -0.01187614  0.01396744
 -0.03535058]"
213754,"[-0.07137212 -0.00870815  0.02106962 ...  0.01243478 -0.01678821
 -0.04358688]"
213860,"[-0.05169097 -0.02502472  0.01086487 ...  0.02520794 -0.00893238
 -0.02966199]"
214350,"[-0.04383906 -0.0061346  -0.00910474 ...  0.00980512  0.00583564
 -0.021906  ]"
214472,"[-0.06768297 -0.02221414  0.01336087 ... -0.0039903   0.00242093
 -0.03408381]"
214553,"[-0.05108722 -0.00834481  0.00972742 ...  0.00467079 -0.01265076
 -0.04679507]"
214571,"[-0.05367745 -0.00920354  0.02014599 ...  0.01008714  0.01192256
 -0.03281448]"
214822,"[-0.05334796 -0.0100413   0.01695452 ...  0.0109596   0.01629044
 -0.00927077]"
215101,"[-0.05870247 -0.01445103  0.02041962 ...  0.01876557 -0.01325323
 -0.02968137]"
215151,"[-0.04126205 -0.00614786  0.00753089 ...  0.01037122 -0.02572636
 -0.03160401]"
215930,"[-5.6550916e-02  2.9166502e-05 -6.4516705e-03 ... -1.7159544e-02
 -2.5267107e-02 -1.7013151e-02]"
215998,"[-0.03780558 -0.01982785  0.02965599 ...  0.00429726  0.02396279
 -0.02349335]"
216238,"[-0.07573519 -0.01416381  0.00776044 ...  0.01997877 -0.0119321
 -0.02141285]"
216730,"[-0.06855833 -0.03951226  0.02085387 ...  0.01583881 -0.0220363
 -0.03239537]"
216793,"[-0.03922486 -0.0172429   0.00694303 ...  0.02119488 -0.04057711
 -0.04749952]"
216940,"[-0.06117506 -0.01171879  0.01266053 ... -0.00598315 -0.00847811
 -0.03573675]"
217203,"[-0.06283151 -0.02313577 -0.00599187 ... -0.00514394 -0.00941033
 -0.03564998]"
217438,"[-0.04949487 -0.03441596  0.00695348 ... -0.00992151  0.00384081
 -0.02694564]"
217482,"[-0.0624401  -0.02177589 -0.00490074 ... -0.013727   -0.00771642
 -0.02980911]"
217877,"[-0.07195283  0.00027971  0.00541853 ...  0.01610355 -0.00875661
 -0.03056762]"
217951,"[-0.05360847 -0.01333155 -0.0101757  ... -0.00331092 -0.01740025
 -0.0306526 ]"
218013,"[-0.06684775 -0.01472405 -0.0130011  ...  0.01446991  0.00154999
 -0.01975566]"
218368,"[-0.04066056 -0.01935964  0.00600564 ... -0.01104121 -0.00537734
 -0.03577178]"
117502,"[-0.05677602 -0.02187611  0.01906497 ...  0.00109892  0.00483489
 -0.04906872]"
113502,"[-0.06112031 -0.03542138  0.01575739 ...  0.026767   -0.02575656
 -0.00561203]"
124190,"[-0.06437425 -0.012532    0.02708642 ...  0.01578238 -0.0246785
 -0.04418477]"
119818,"[-0.06617818 -0.03031283  0.02282061 ... -0.00772937  0.01904011
 -0.03364024]"
122117,"[-0.03207785  0.01343747 -0.00168715 ...  0.00545192  0.01950976
 -0.03712012]"
121794,"[-0.07754178  0.00357925  0.0292114  ...  0.01535732 -0.00831052
 -0.03573678]"
109965,"[-0.06298015 -0.02856331 -0.00260626 ...  0.00376301 -0.02068098
 -0.03625112]"
113918,"[-0.03308772 -0.02298117  0.01517241 ...  0.02035087  0.00062858
 -0.02139392]"
